"Billing address","Rechnungsadresse"
"Shipping address","Versandadresse"
"Shipping method","Versandart"
"Time of Delivery","Lieferzeit"
"Payment method","Zahlweise"
"Order Review","Bestellübersicht"
"First Name","Vorname"
"Last Name","Nachname"
"Email Address","E-Mail Adresse"
"Company","Firma"
"Country","Land"
"State/Province","Bundesland/Kanton"
"Zip/Postal","Postleitzahl"
"City","Stadt"
"Address","Adresse"
"Telephone","Telefon"
"Fax","Fax"
"Tax/VAT number","Ust.-ID"
"Date of Birth","Geburtstag"
"Gender","Geschlecht"
"Prefix","Prefix"
"M.I.","M.I."
"Suffix","Suffix"
"MM","MM"
"DD","TT"
"YYYY","JJJJ"
"Save in address book","Im Adressbuch speichern"
"Create an Account","Benutzerkonto anlegen"
"Password","Passwort"
"Confirm Password","Passwort bestätigen"
"Ship to this address","An Rechnungsadresse schicken"
"Comments","Kommentare"
"Already registered? Please log in here","Bereits registriert? Hier klicken, um einzuloggen"
"Customer Login","Kundenlogin"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Ich stimme den <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Allgemeinen Geschäftsbedingungen</a> zu"
"Login","Anmelden"
"Forgot Your Password?","Passwort vergessen?"
"Place Order","Bestellung abschließen"
"Subscribe to newsletter","Für Newsletter anmelden"
"* This field is required","* Dies ist ein Pflichtfeld"
"* Please select an option","* Bitte eine Option auswählen"
"* This checkbox is required","* Pflichtangabe"
"*Between ","* Zwischen"
" and "," und "
"characters allowed","erlaubte Zeichen"
"* Checks allowed Exceeded","* Erlaubte Optionen überschritten"
"* Please select ","* Bitte auswählen"
" options"," optionen"
"* Your field is not matching","* Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"* Invalid phone number","* Ungültige Telefonnummer"
"* Invalid email address","* Ungültige E-Mail Adresse"
"* Invalid date, must be in YYYY-MM-DD format","* Ungültige Datumsangabe, erlaubt ist JJJJ-MM-TT"
"* Numbers only","* Nur Zahlen erlaubt"
"* This user is available","* Der Benutzername ist verfügbar"
"* Loading, please wait","* Bitte warten, wird geladen..."
"* This user is already taken","* Der Benutzername ist bereits vergeben"
"* This name is already taken","* Der Name ist bereits vergeben"
"* This name is available","* Der Name ist verfügbar"
"* Letters only","* Nur Buchstaben erlaubt"
"* You must have a firstname and a lastname","* Sie müssen Vornamen und Nachnamen angeben"
"Check this checkbox if you want to add gift messages.","Setzen Sie hier einen Haken, wenn Sie Geschenknachrichten eingeben möchten."
"Enter a gift message for entire order.","Geben Sie eine Geschenknachricht für die gesamte Bestellung ein."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Sie können dieses Feld leer lassen, wenn Sie für diese Bestellung keine Geschenknachricht eingeben möchten."
"From","Von"
"To","An"
"Message","Nachricht"
"Item %d of %d","Artikel %d von %d"
"Updating information, please wait...","Aktualisiere Daten, bitte warten..."
"General","Allgemein"
"Enable LightCheckout","Aktiviere LightCheckout"
"Default Country","Standard Land"
"Default Shipping Method","Standard Versandart"
"Default Payment Method","Standard Zahlungsweise"
"Page Title","Seite Titel"
"Page Content","Seiteninhalt"
"Enable Different Shipping Address","Aktiviere mehrere Lieferadressen"
"Enable Delivery Date","Aktiviere Lieferdatum"
"Enable GeoIP for Country","Aktiviere GeoIP für Länder"
"Registration","Registrierung"
"Checkout Mode","Kassen Modus"
"Registered and guest customers","Registrierte und Gäste"
"Only registered customers","Nur registrierte Kunden"
"Only guest customers","Nur Gäste"
"Enable/Disable Fields","Aktiviere/Deaktiviere Adressenfelder"
"Region","Region"
"Zip/Postcode","Postleitzahl"
"Newsletter Checkbox","Newsletter Checkbox"
"Sort Address Fields","Sortiere Adressfelder"
"Company Order","Firma"
"Country Order","Land"
"City Order","Stadt"
"Telephone Order","Telefon"
"Fax Order","Fax"
"State/Region Order","Region"
"Address Order","Adresse"
"Zip/Postcode Order","Postleitzahl"
"Terms & Conditions","Allgemeine Geschäftsbedingungen"
"Enable Terms and Conditions","Aktiviere AGBs"
"Terms and Conditions Text","AGB Text"
"Popup Width in Pixels","Pop-up Breite in Pixel"
"Popup Height in Pixels","Pop-up Höhe in Pixel"
"Enable","Aktivieren"
"Disable","Deaktivieren"
"Required","Pflichtfeld"
"Optional","Freiwillig"
"Yes","Ja"
"No","Nein"
"Select a billing address","Rechnungsadresse auswählen"
"Select a shipping address","Lieferadresse auswählen"
"Buy without VAT (for EU only)","Ohne MwSt kaufen (nur EU)"
"Apply Coupon","Gutschein einlösen"
"Discount codes","Rabattcodes"
"Subtotal","Zwischensumme"
"Grand Total","Endsumme"
"Product Name","Produktname"
"Price","Preis"
"Qty","Menge"
"Remove item","Gegenstand löschen"
"What is this?","Was ist das?"
"Card Verification Number","CVC-Code"
"Expiration Date","Gültig bis"
"Credit Card Type","Kartenart"
"Credit Card Number","Kreditkartennummer"
"Name on Card","Name auf der Karte"
"Expiration Date","Ablaufdatum"
"Please select region, state or province","Bitte Bundesland oder Kanton wählen"
"--Please Select--","--Bitte wählen--"
"LightCheckout Skin","LightCheckout Skin"
"Allow to change Qty","Änderung der Menge ermöglichen"
"Allow to Remove Item from Checkout","Entferung von Waren aus der Kassa ermöglichen"
"Disable Cart","Warenkorb deaktivieren"
"Enable Discount Codes","Rabattcodes aktivieren"
"Yes, checkbox is checked","Ja, Checkbox ist aktiviert"
"Yes, checkbox is unchecked","Ja, Checkbox ist deaktivert"
"Create an Account checkbox","Konto-Checkbox erstellen"
"Available Delivery Days","Verfügbare Lieferdaten"
"Available Delivery from, hours","Verfügbare Lieferung ab, Stunden"
"Available Delivery to, hours","Verfübare Lieferung bis, Stunden"
"Set Interval for Delivery, days","Intervall für Lieferung einstellen, Tage"
"Enable GeoIP for Zip/Postcode","GeoIP für PLZ aktivieren"
"Enable GeoIP for City","GeoIP für Stadt aktivieren"
"Enable Ajax for Country","Ajax für Land aktiveren"
"Enable Ajax for State/Region","Ajax für Bundesland/Kanton aktivieren"
"Enable Ajax for Zip/Postcode","Ajax für PLZ aktivieren"
"Enable Ajax for City","Ajax für Stadt aktivieren"
"Show Address Book","Adressbuch anzeigen"
"State/Region","Bundesland/Kanton"
"Enable EU VAT Option","EU MwSt Option aktivieren"
"Base EU Country","Basis EU-Land"
"B2C & B2B (Base EU Country)","B2C & B2B (Basis EU-Land)"
"B2C & B2B (within EU, not Base EU Country)","B2C & B2B (innerhalb der EU, nicht Basis EU-Land)"
"VAT/Tax Rule","MwSt Regel"
"Show Buy without VAT checkbox","Kaufen ohne MwSt Checkbox anzeigen"
"Text under VAT/Tax field","Text unter dem MwSt Feld"
"EU VAT/Tax Settings","EU MwSt-Einstellungen"
"Without VAT if VAT Number is Verified","Ohne MwSt, falls die UID Nummer verifiziert ist"
"Without VAT","Ohne MwSt"
"With VAT","Mit MwSt"
"Yes, checked","Ja, aktiviert"
"Yes, unchecked","Ja, deaktiviert"
"Delivery Date","Lieferdatum"
"GeoIP Settings","GeoIP Einstellungen"
"Ajax Settings","Ajax Einstellungen"
"Yes, before Order Review","Ja, vor Kontrolle der Bestellung"
"Yes, after Order Review","Ja, nach Kontrolle der Bestellung"
"Selected Days","Ausgewählte Tage"
"All Days","Alle Tage"
"Activation","Aktivierung"
"Activation Key","Aktiviertungscode"
"Select Websites","Webseiten auswählen"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Deaktiviert"
"Checked","Aktiviert"
"Enable, unchecked","Ermöglichen, deaktiviert"
"Enable, checked","Ermöglichen, aktiviert"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Um GeoIP zu verwenden, müssen Sie die Datei GeoliteCity.dat in den Ordner /media/geoip laden. Lesen Sie mehr in der <a target=""_blank"" href=""%s"">Installationsanleitung</a>"
"Select Date","Datum wählen"
"Buttons View","Button-Anzeige"
"Please enter a valid VAT.","Bitte geben Sie eine gültige UID Nummer ein."
"None","Keine"
"Use Сtrl + left mouse button to select the days","Drücken Sie Ctrl + die linke Maustaste, um die Tage auszuwählen"
"Please enter a valid key.","Bitte geben Sie einen gültigen Code ein."
"Gift Wrapping","Gift Wrapping"
