%s Support (%s),%s Support (%s)
Contact Email,Contact Email
Contact Form,Contact Form
Contact Name,Contact Name
"Contact Neklo Support Team or visit <a href=""%s"" target=""_blank"">%s</a> for additional information","Contact Neklo Support Team or visit <a href=""%s"" target=""_blank"">%s</a> for additional information"
Extensions &amp; Contact,Extensions &amp; Contact
Extensions Information,Extensions Information
Installed Neklo Extensions,Installed Neklo Extensions
free,free
Magento Related Support (paid),Magento Related Support (paid)
Message,Message
Neklo Extensions &amp; Contact,Neklo Extensions &amp; Contact
Other Reason,Other Reason
Reason,Reason
Request New Extension Development (paid),Request New Extension Development (paid)
paid,paid
Please select,Please select
Send,Send
Subject,Subject