"﻿""Billing address""","Rachunek prześlij na adres "
"Shipping address","Adres odbioru"
"Shipping method","Sposób dostawy "
"Time of Delivery","Czas dostawy"
"Payment method","Sposób zapłaty"
"Order Review","Podgląd zamówienia"
"First Name","Imię"
"Last Name","Nazwisko"
"Email Address","Adres mailowy"
"Company","Firma"
"Country","Kraj"
"State/Province","Województwo"
"Zip/Postal","Kod pocztowy"
"City","Miasto"
"Address","Adres "
"Telephone","Telefon"
"Fax","Faks"
"Tax/VAT number","Numer NIP/ VAT"
"Date of Birth","Data urodzenia"
"Gender","Płeć"
"Prefix","Tytuł "
"M.I.","M.I."
"Suffix","Suffix"
"MM","Miesiąc"
"DD","Dzień"
"YYYY","Rok "
"Save in address book","Zapisz w książce adresowej"
"Create an Account","Załóż konto"
"Password","Hasło"
"Confirm Password","Potwierdź hasło"
"Ship to this address","Prześlij na adres"
"Comments","Komentarze"
"Already registered? Please log in here","Jesteś zarejestrowany? Zaloguj się"
"Customer Login","Login klienta"
"I accept the <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Terms and Conditions</a>","Akceptuję <a class=""terms-link"" href=""%s"" rel=""#terms-block"" onclick=""%s"">Zasady i Warunki</a>"
"Login","Zaloguj się"
"Forgot Your Password?","Zapomniałeś hasła?"
"Place Order","Zamów "
"Subscribe to newsletter","Zamów informator"
"* This field is required","* Wymagane pole"
"* Please select an option","* Wybierz"
"* This checkbox is required","* Pola wymagane"
"*Between ","* Od "
" and "," do "
"characters allowed","dozwolonych znaków"
"* Checks allowed Exceeded","* Zadużo znaków"
"* Please select ","* Wybierz "
" options"," opcje"
"* Your field is not matching","* Pola nie zgadzają się"
"* Invalid phone number","* Błędny numer telefonu"
"* Invalid email address","* Błędny adres emailowy"
"* Invalid date, must be in YYYY-MM-DD format","* Błędna data, zapisz jako RRRR-MM-DD"
"* Numbers only","* Tylko cyfry"
"* This user is available","* Nazwa użytkownika dostępna"
"* Loading, please wait","* Wczytywanie, proszę czekać"
"* This user is already taken","* Nazwa użytkownika niedostępna"
"* This name is already taken","* Nazwa niedostępna"
"* This name is available","* Nazwa dostępna"
"* Letters only","* Tylko litery"
"* You must have a firstname and a lastname","* Musisz podać imię i nazwisko"
"Check this checkbox if you want to add gift messages.","Sprawdź czy zaznaczyłeś to okienko, jeśli chcesz załączyć informację o prezencie"
"Enter a gift message for entire order.","Wpisz wiadomość o prezencie do całego zamówienia"
"You can leave this box blank if you do not wish to add a gift message for whole order.","Możesz zostawić to okienko nieodznaczone, jeśli nie chcesz dołączyć informacji o prezencie do całego zamówienia"
"From","Od "
"To","Dla "
"Message","Wiadomość"
"Item %d of %d","Przedmiot %d z %d"
"Updating information, please wait...","Aktualizowanie  danych, proszę czekać…"
"General","Ogólne"
"Enable LightCheckout","Zezwalaj na LightCheckout"
"Default Country","Kraj domyślny"
"Default Shipping Method","Sposób dostawy domyślny"
"Default Payment Method","Sposób płatności domyślny"
"Page Title","Tytuł strony"
"Page Content","Zawartość strony "
"Enable Different Shipping Address","Zezwalaj na inny adres dostawy"
"Enable Delivery Date","Zezwalaj na określenie daty"
"Enable GeoIP for Country","Zezwalaj na GeoIP kraju"
"Registration","Rejestracja"
"Checkout Mode","Przejdź do kasy"
"Registered and guest customers","Klienci zarejestrowani i goście"
"Only registered customers","Tylko klienci zarejestrowani"
"Only guest customers","Tylko goście"
"Enable/Disable Fields","Pola zezwalaj/nie zezwalaj"
"Region","województwo"
"Zip/Postcode","kod pocztowy"
"Newsletter Checkbox","Chcę otrzymywać informator"
"Sort Address Fields","Sortuj według adresu"
"Company Order","Według firmy"
"Country Order","Według kraju"
"City Order","Według miasta"
"Telephone Order","Według telefonu"
"Fax Order","Według faksu"
"State/Region Order","Według województwa"
"Address Order","Według adresu"
"Zip/Postcode Order","Według kodu pocztowego"
"Terms & Conditions","Zasady i Warunki"
"Enable Terms and Conditions","Zezwalaj na Zasady i Warunki"
"Terms and Conditions Text","Tekst Zasad i Warunków"
"Popup Width in Pixels","Szerokość obrazka w pikselach"
"Popup Height in Pixels","Wysokość obrazka w pikselach"
"Enable","Zezwalaj"
"Disable","Nie zezwalaj"
"Required","Wymagane"
"Optional","Nie wymagane"
"Yes","Tak"
"No","Nie"
"Select a billing address","Wybierz adres do wystawienia rachunku"
"Select a shipping address","Wybierz adres dostawy"
"Buy without VAT (for EU only)","Bez VATu (tylko dla krajów Unii Europejskiej)"
"Apply Coupon","Wartość kuponu"
"Discount codes","Kod kuponu"
"Subtotal","Wartość częściowa"
"Grand Total","Wartość czałkowita"
"Product Name","Nazwa produktu"
"Price","Cena"
"Qty","Ilość"
"Remove item","Usuń produkt"
"What is this?","Co to jest?"
"Card Verification Number","Numer weryfikacyjny karty"
"Expiration Date","data ważności"
"Credit Card Type","Rodzaj karty kredytowej "
"Credit Card Number","Numer karty kredytowej"
"Name on Card","Nazwa karty"
"Expiration Date","data ważności"
"Please select region, state or province","Wybierz województwo"
"--Please Select--","--Wybierz--"
"LightCheckout Skin","Skórka LightCheckout"
"Allow to change Qty","Pozwól na zmianę ilości"
"Allow to Remove Item from Checkout","Pozwól na usunięcie produktów z koszyka"
"Disable Cart","Nie zezwalaj na użycie koszyka"
"Enable Discount Codes","Zezwalaj na kody na zniżki"
"Yes, checkbox is checked","Tak, pole wyboru jest zaznaczone"
"Yes, checkbox is unchecked","Tak, pole wyboru jest niezaznaczone"
"Create an Account checkbox","Stwórz pole wyboru do konta"
"Available Delivery Days","Możliwe dni dostawy"
"Available Delivery from, hours","Dostawa możliwa od godziny"
"Available Delivery to, hours","Dostawa możliwa do godziny"
"Set Interval for Delivery, days","Ustal ilość dni na dostawę"
"Enable GeoIP for Zip/Postcode","Zezwalaj na GeoIP kodu pocztowego"
"Enable GeoIP for City","Zezwalaj na GeoIP miasta"
"Enable Ajax for Country","Zezwalaj na Ajax dla kraju"
"Enable Ajax for State/Region","Zezwalaj na Ajax dla województwa"
"Enable Ajax for Zip/Postcode","Zezwalaj na Ajax dla kodu pocztowego"
"Enable Ajax for City","Zezwalaj na Ajax dla miasta "
"Show Address Book","Pokaż książkę adresową"
"State/Region","województwo"
"Enable EU VAT Option","Zezwalaj na wybór VATu w Unii Europejskiej"
"Base EU Country","Podstawowy kraj Unii Europejskiej przy wyborze VATu"
"B2C & B2B (Base EU Country)","B2C i B2B (podstawowy kraj Unii Europejskiej przy wyborze VATu)"
"B2C & B2B (within EU, not Base EU Country)","B2C i B2B (w obrębie Unii, niepodstawowy kraj Unii Europejskiej przy wyborze VATu)"
"VAT/Tax Rule","Zasada VAT/podatku"
"Show Buy without VAT checkbox","Pokaż  pole kup bez VATu"
"Text under VAT/Tax field","Tekst pod polem VAT/podatek"
"EU VAT/Tax Settings","Ustawienia EU VAT/podatek"
"Without VAT if VAT Number is Verified","Bez VATu jeśli numery VAT są potwierdzone"
"Without VAT","Bez VATu"
"With VAT","Z VATem"
"Yes, checked","Tak, zaznaczone"
"Yes, unchecked","Tak, nie zaznaczone"
"Delivery Date","Data dostawy"
"GeoIP Settings","Ustawienia GeoIP"
"Ajax Settings","Ustawienia Ajax"
"Yes, before Order Review","Tak, przed przeglądem zamówienia"
"Yes, after Order Review","Tak, po przeglądzie zamówienia"
"Selected Days","Wybrane dni"
"All Days","Wszystkie dni"
"Activation","Aktywacja"
"Activation Key","Klucz aktywacji"
"Select Websites","Wybierz strony web"
"GoMage LightCheckout","GoMage LightCheckout"
"Unchecked","Nie odznaczone"
"Checked","Odznaczone"
"Enable, unchecked","Pozwól, nie odznaczone"
"Enable, checked","Pozwól, odznaczone"
"To use GeoIP you need to upload GeoliteCity.dat file to folder /media/geoip. Read more in the <a target=""_blank"" href=""%s"">Installation Guide</a>","Żeby użyć GeoIP musisz przesłać GeoliteCity.dat file to folder /media/geoip. Dowiedz się więcej <a target=""_blank"" href=""%s"">pomoc w instalacji</a>"
"Select Date","Wybierz datę"
"Buttons View","Wygląd przycisków"
"Please enter a valid VAT.","Wprowadź ważny VAT"
"None","Żaden"
"Use Сtrl + left mouse button to select the days","Użyj Ctrl + lewego przycisku myszy, aby wybrać dni"
"Please enter a valid key.","Wpowadź ważny klucz "
"Gift Wrapping","Gift Wrapping"
